,title,user_id,rank,review,subway,theme_keyword
0,흰여울문화마을,13sfmgh,1.0,안전진단 E등급이면 바로 주민들 철수시키고 철거해야 하는데 부산시는 2년 동안 대체 무얼했는가?,,
1,흰여울문화마을,ltrfdt,1.0,붕괴위험 가득한곳!! 걷기만해도 무너질 위험이 있다고 하니 조심해서 거르시길...,,
2,흰여울문화마을,vmd10g,5.0,좋아요!-!,,
3,흰여울문화마을,1b73pca,5.0,,,
4,흰여울문화마을,ev9nnd,5.0,날씨 좋는 날 가면 더 대박인 곳. 예전 이태원 거리를 걷는 느낌이 난다.  여러 색상의 알록달록한 벽들과 지붕 그리고 길들을 보면서 걷는 시간이 참 즐겁게 느껴짐  간 김에 흰여울 터널까지 가기를 추천함,,
5,흰여울문화마을,fmhibp,1.0,산책하기 좋은곳. 바다는 맑고 마을은 구경하기 좋음 카페도 적당히 있고 힐링하기 좋음 영화 변호인 촬영지 보러 갔는데 지붕이 없고 출입불가라서 들어가지 못해서 물어보니까 주변 가게서 못고치게 하고 없애버릴려고 한다고 다발성 악성 민원 넣고있다고 함,,
6,흰여울문화마을,umc1m2,4.0,,,
7,흰여울문화마을,n0o1um,5.0,짱예쁨 뷰 미쳤고 산책하기 좋다,,
8,흰여울문화마을,eco435,5.0,태종대 밖에 없던 영도에 새로운 핫플생겼다고 노젓고 있는거 보면 영도구가 일을 잘한다 ! KTX타고 부산역 가서 버스타고 15분만에 도착 특히 일몰때가면 엄청 이쁘다 저멀리 대마도도 보이고 ,,
9,흰여울문화마을,vfr9cq,4.0,온통 푸른 빛. 한 번 쯤 들러 보기 좋은 것 같아요!,,
10,흰여울문화마을,8q3acu,4.0,,,
11,흰여울문화마을,17jqul6,5.0,뷰 너무 좋아요,,
12,흰여울문화마을,al7vje,5.0,관리가 잘 되어잇어서 길도 깨끗하고 사진 찍기에도 너무 예뻣어요~ ,,
13,흰여울문화마을,mvm8kd,4.0,바다산책하기 좋은데 딱히 할건없어요,,
14,흰여울문화마을,1a0fi06,5.0,,,
15,흰여울문화마을,f5fo1e,5.0,그리스같아요,,
16,흰여울문화마을,n0f0sd,4.0,부산에 있는 제주도느낌과 70년대 80년대 한국느낌나는 도시입니다. 맑은날보다는 흐린날에 가시는걸 추천드립니다. 풍경도 아름답고 멋있지만 영도가 거의 산지형으로 이루어진곳이라 자갈해변 내려가는길은 은근 가파르고 험합니다. 막신어도되는 운동화추천. 새신발이나 구두 슬리퍼 금지입니다.,,
